trial_id,job_id,lr,epochs,dropout,weight_decay,batch_size,gradient_clip,lr_scheduler,lr_scheduler_factor,lr_scheduler_patience,early_stopping_patience,cls_pos_weight,conv1_filters,conv1_kernel,conv1_padding,conv2_filters,conv2_kernel,conv2_padding,conv3_filters,conv3_kernel,conv3_padding,conv4_filters,conv4_kernel,conv4_padding,pool_size,fc1_size,fc2_size,score,recall,precision,status,retries,created_at,updated_at
trial_28,7229804.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,0.0008631114686779,50,0.4202276048468094,2.8865877388691213e-08,16,6.9732432996431815,False,0.1684576429826006,29,8,8.051036547266413,,,,,,,,,,,,,,,,0.931008,0.9982158786797504,0.8085260115606936,0,0,2026-06-30T06:00:31.668891+00:00,2026-07-06T01:41:20.941619+00:00
trial_29,7229810.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,0.0007737651413993,200,0.0528417125366771,0.000495798925911,32,3.45905568754884,False,0.3161374316975118,32,8,4.20828668583875,,,,,,,,,,,,,,,,0.9377833256684844,0.9794826048171276,0.8558067030397506,0,0,2026-06-30T06:11:49.324284+00:00,2026-07-06T01:41:20.941619+00:00
trial_30,7229815.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,0.0012343903503583,200,0.2775809647768297,0.0291999917558812,128,0.6310476687807642,True,0.4500828185776122,12,12,9.072999078895435,,,,,,,,,,,,,,,,0.843635517822876,0.9955396966993756,0.6280247608328644,0,0,2026-06-30T06:16:50.414371+00:00,2026-07-06T01:41:20.941619+00:00
trial_31,7229825.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,2.033235375441121e-05,150,0.2779850517796752,0.0098035647824321,64,7.337299004075143,True,0.3443114826640837,1,11,5.14853653146334,,,,,,,,,,,,,,,,0.894918342117249,0.943800178412132,0.8015151515151515,0,0,2026-06-30T06:22:24.743622+00:00,2026-07-06T01:41:20.941619+00:00
trial_32,7229832.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,0.0244755225090038,200,0.6641600193527787,6.678279694104745e-07,32,9.852492430191496,True,0.7170656196716738,6,21,1.427719386863257,,,,,,,,,,,,,,,,0.9555158966223808,0.991971454058876,0.8825396825396825,0,0,2026-06-30T06:29:21.946051+00:00,2026-07-06T01:41:20.941619+00:00
trial_33,7229847.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,3.945363255563942e-05,100,0.6612473100732544,0.0007018613592436,256,7.982550579759548,False,0.944137463149835,3,23,9.468495094945798,,,,,,,,,,,,,,,,0.9310524600847182,0.9803746654772524,0.8363774733637748,0,0,2026-06-30T06:52:28.288024+00:00,2026-07-06T01:41:20.941619+00:00
trial_34,7229861.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,0.0299054942820217,100,0.1106429102041545,2.310533304124359e-07,128,7.822288601927755,False,0.0730287061267544,17,17,8.701103165284536,,,,,,,,,,,,,,,,0.942991940239827,0.9875111507582516,0.8561484918793504,0,0,2026-06-30T07:09:38.234971+00:00,2026-07-06T01:41:20.941619+00:00
trial_35,7229880.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,0.0090774771922567,100,0.5443497987743823,2.316868401896299e-06,128,8.11122834307385,False,0.6458874947112766,21,19,6.161069884351698,,,,,,,,,,,,,,,,0.9410845648069788,0.991971454058876,0.8437025796661608,0,0,2026-06-30T07:31:11.482814+00:00,2026-07-06T01:41:20.941619+00:00
trial_36,7229892.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,7.364382674719562e-05,150,0.3148232645619631,1.334448473771573e-07,128,6.8948462549009815,True,0.8351121992267024,29,18,2.311684526230854,,,,,,,,,,,,,,,,0.933441243120751,0.9892952720785012,0.8282300224047797,0,0,2026-06-30T07:44:30.462098+00:00,2026-07-06T01:41:20.941619+00:00
trial_37,7229899.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,0.0003215428931735,150,0.5171525130226454,5.676255096621439e-05,16,7.133421958150005,True,0.3874819533221685,7,2,2.953053296247493,,,,,,,,,,,,,,,,0.9165184160242472,0.9545049063336308,0.8411949685534591,0,0,2026-06-30T07:51:44.981529+00:00,2026-07-06T01:41:20.941619+00:00
trial_38,7229904.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,0.0166447423704196,200,0.5497335190763843,4.242626087390993e-07,16,4.657997413224502,False,0.3181700377217987,21,25,9.669463440837015,,,,,,,,,,,,,,,,0.9364513830407464,0.991971454058876,0.831712789827973,0,0,2026-06-30T07:58:46.557337+00:00,2026-07-06T01:41:20.941619+00:00
trial_39,7229929.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,0.0020581713247176,200,0.1024631570677099,2.0326247611699743e-06,16,9.675364761781314,False,0.265428382180077,12,23,2.21729681370056,,,,,,,,,,,,,,,,0.942829140803659,0.9901873327386262,0.8512269938650306,0,0,2026-06-30T08:27:49.467202+00:00,2026-07-06T01:41:20.941619+00:00
trial_40,7229946.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,0.0062228893407248,100,0.2005229373585223,2.404129912248995e-07,256,9.30154469099626,True,0.8848612866640402,38,27,3.409499445824819,,,,,,,,,,,,,,,,0.9441244620986428,0.9785905441570026,0.8748006379585327,0,0,2026-06-30T08:57:54.269566+00:00,2026-07-06T01:41:20.941619+00:00
trial_41,7229965.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,0.0240133144977538,50,0.1881176612826335,1.937333024497221e-06,16,1.4500089410939645,False,0.7318705247228886,16,3,9.044396655523126,,,,,,,,,,,,,,,,0.8764666545078729,0.9892952720785012,0.6974842767295597,0,0,2026-06-30T09:22:36.378635+00:00,2026-07-06T01:41:20.941619+00:00
trial_42,7229972.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,0.0117849586444261,100,0.1301311980893869,3.70059823831405e-08,128,9.52953200087838,False,0.8252988799072964,30,25,9.908853127743551,,,,,,,,,,,,,,,,0.9412462908011868,0.9794826048171276,0.8652482269503546,0,0,2026-06-30T09:29:42.546627+00:00,2026-07-06T01:41:20.941619+00:00
trial_43,7229987.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,0.0284359577347735,100,0.0529171126131208,1.471204584494683e-05,64,8.721204049887294,True,0.2454526912951524,3,7,9.872148141847976,,,,,,,,,,,,,,,,0.9261410788381744,0.9955396966993756,0.8005738880918221,0,0,2026-06-30T09:50:02.143731+00:00,2026-07-06T01:41:20.941619+00:00
trial_44,7229998.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,0.0192307610153222,100,0.0061423285433424,0.0006149529581136,128,4.376991467600128,True,0.886370899778591,30,25,1.5785334235299089,,,,,,,,,,,,,,,,0.9171193047479071,0.9848349687778768,0.7942446043165468,0,0,2026-06-30T09:58:38.301974+00:00,2026-07-06T01:41:20.941619+00:00
trial_45,7230015.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,1.651159629883091e-05,25,0.0555624875037625,0.0067202011570805,16,4.707461656967249,True,0.3833373876432399,7,8,2.874747947962642,,,,,,,,,,,,,,,,0.914028365933992,0.9330954504906334,0.8738512949039264,0,0,2026-06-30T10:21:27.295334+00:00,2026-07-06T01:41:20.941619+00:00
trial_46,7230023.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,0.0001104483512026,25,0.469927144720651,1.2943012642882093e-08,64,5.542694225564448,False,0.1700929732508245,2,24,7.918919518766844,,,,,,,,,,,,,,,,0.9332079631671096,0.9875111507582516,0.8304576144036009,0,0,2026-06-30T10:31:08.898893+00:00,2026-07-06T01:41:20.941619+00:00
trial_47,7230030.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,0.0001874437629404,200,0.6951716392647482,4.136782424528867e-08,32,0.7464196201856954,True,0.8486445424167643,22,24,4.082465442674265,,,,,,,,,,,,,,,,0.938354819710752,0.983942908117752,0.849768875192604,0,0,2026-06-30T10:40:46.121539+00:00,2026-07-06T01:41:20.941619+00:00
trial_48,7230047.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,0.0008597920708418,300,0.1216332808214741,2.154988935879529e-06,16,9.172088141519165,True,0.4165182336791768,23,2,3.529124867902832,,,,,,,,,,,,,,,,0.9226985242445538,0.9910793933987512,0.798705966930266,0,0,2026-06-30T11:02:50.639462+00:00,2026-07-06T01:41:20.941619+00:00
